n_train,cross_entropy,f1,seed,experiment,test_acc,n_test,value,train_time,dataset,method,n_params
32,0.21970197837567357,0.9687194525904204,0,18_qifm_trainable_observables,0.96875,32,,16.59408402442932,two_moons,qifm,31
32,,,0,18_qifm_trainable_observables,0.9375,32,,,two_moons,logreg,3
32,,,0,18_qifm_trainable_observables,0.78125,32,,,two_moons,mlp,17
32,,,0,18_qifm_trainable_observables,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,18_qifm_trainable_observables,0.96875,32,,,two_moons,rff,97
32,0.4942496840273295,0.75,1,18_qifm_trainable_observables,0.75,32,,16.021172046661377,two_moons,qifm,31
32,,,1,18_qifm_trainable_observables,0.8125,32,,,two_moons,logreg,3
32,,,1,18_qifm_trainable_observables,0.90625,32,,,two_moons,mlp,17
32,,,1,18_qifm_trainable_observables,1.0,32,,,two_moons,rbf_svm,52
32,,,1,18_qifm_trainable_observables,0.84375,32,,,two_moons,rff,97
32,0.21970197837567357,0.9687194525904204,0,19_qifm_vs_tiny_mlp,0.96875,32,,16.573238849639893,two_moons,qifm,31
32,,,0,19_qifm_vs_tiny_mlp,0.78125,32,,,two_moons,mlp,17
32,0.4942496840273295,0.75,1,19_qifm_vs_tiny_mlp,0.75,32,,15.949450016021729,two_moons,qifm,31
32,,,1,19_qifm_vs_tiny_mlp,0.90625,32,,,two_moons,mlp,17
32,1.2800529330846477,0.7793103448275862,0,20_qifm_vs_rbf_rff,0.78125,32,,15.590814113616943,circles,qifm,31
32,,,0,20_qifm_vs_rbf_rff,1.0,32,,,circles,rbf_svm,55
32,,,0,20_qifm_vs_rbf_rff,0.90625,32,,,circles,rff,97
32,0.5094660448899511,0.6532019704433498,1,20_qifm_vs_rbf_rff,0.65625,32,,15.684595108032227,circles,qifm,31
32,,,1,20_qifm_vs_rbf_rff,1.0,32,,,circles,rbf_svm,58
32,,,1,20_qifm_vs_rbf_rff,0.96875,32,,,circles,rff,97
32,0.5937268038705041,0.7810361681329423,0,21_noise_robustness,0.78125,32,,15.593929052352905,two_moons,qifm,31
32,,,0,21_noise_robustness,0.875,32,,,two_moons,logreg,3
32,,,0,21_noise_robustness,0.71875,32,,,two_moons,mlp,17
32,,,0,21_noise_robustness,0.90625,32,,,two_moons,rbf_svm,61
32,,,0,21_noise_robustness,0.90625,32,,,two_moons,rff,97
32,0.4849049996654988,0.8398398398398399,1,21_noise_robustness,0.84375,32,,15.67322325706482,two_moons,qifm,31
32,,,1,21_noise_robustness,0.78125,32,,,two_moons,logreg,3
32,,,1,21_noise_robustness,0.90625,32,,,two_moons,mlp,17
32,,,1,21_noise_robustness,0.875,32,,,two_moons,rbf_svm,61
32,,,1,21_noise_robustness,0.75,32,,,two_moons,rff,97
16,0.70128323654399,0.9039039039039038,0,22_low_data_sweep,0.90625,32,,7.916591167449951,circles,qifm,31
16,,,0,22_low_data_sweep,0.3125,32,,,circles,logreg,3
16,,,0,22_low_data_sweep,0.375,32,,,circles,mlp,17
16,,,0,22_low_data_sweep,1.0,32,,,circles,rbf_svm,40
16,,,0,22_low_data_sweep,0.75,32,,,circles,rff,97
16,0.34872479638096227,0.8358974358974359,1,22_low_data_sweep,0.84375,32,,7.950421094894409,circles,qifm,31
16,,,1,22_low_data_sweep,0.59375,32,,,circles,logreg,3
16,,,1,22_low_data_sweep,0.65625,32,,,circles,mlp,17
16,,,1,22_low_data_sweep,0.96875,32,,,circles,rbf_svm,34
16,,,1,22_low_data_sweep,0.75,32,,,circles,rff,97
32,0.9649490220039718,0.8745098039215686,0,23_param_count_sweep,0.875,32,,16.601626873016357,two_moons,qifm,30
32,,,0,23_param_count_sweep,0.9375,32,,,two_moons,logreg,3
32,,,0,23_param_count_sweep,0.78125,32,,,two_moons,mlp,17
32,,,0,23_param_count_sweep,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,23_param_count_sweep,0.96875,32,,,two_moons,rff,97
32,0.19385532714353323,0.9671794871794872,1,23_param_count_sweep,0.96875,32,,16.24312114715576,two_moons,qifm,30
32,,,1,23_param_count_sweep,0.8125,32,,,two_moons,logreg,3
32,,,1,23_param_count_sweep,0.90625,32,,,two_moons,mlp,17
32,,,1,23_param_count_sweep,1.0,32,,,two_moons,rbf_svm,52
32,,,1,23_param_count_sweep,0.84375,32,,,two_moons,rff,97
32,1.0255244433966528,0.45893719806763283,0,24_more_iterations,0.5625,32,,17.595802783966064,spiral,qifm,31
32,,,0,24_more_iterations,0.4375,32,,,spiral,logreg,3
32,,,0,24_more_iterations,0.34375,32,,,spiral,mlp,17
32,,,0,24_more_iterations,0.5,32,,,spiral,rbf_svm,76
32,,,0,24_more_iterations,0.5625,32,,,spiral,rff,97
32,1.1088423638833054,0.6532019704433498,1,24_more_iterations,0.65625,32,,16.816869735717773,spiral,qifm,31
32,,,1,24_more_iterations,0.65625,32,,,spiral,logreg,3
32,,,1,24_more_iterations,0.5,32,,,spiral,mlp,17
32,,,1,24_more_iterations,0.65625,32,,,spiral,rbf_svm,91
32,,,1,24_more_iterations,0.71875,32,,,spiral,rff,97
